,C23. Which of the following do you have access  to?:Mobile phone,C23. Which of the following do you have access  to?:Internet,C23. Which of the following do you have access  to?:Laptop or desktop or tablet,C24.2. Do you own a SIM card that you can use at any time?,C24.2a. Is the SIM card you own registered biometrically to your own National ID,C24.1. Do you personally own a mobile phone?,C25. Is your phone a smart phone or a simple mobile phone?:Smart phone,C25. Is your phone a smart phone or a simple mobile phone?:Simple phone,C25X1. Which of these things do you do when using  USSD  menus?:Get information,C25X1. Which of these things do you do when using  USSD  menus?:Send or receive,C25X1. Which of these things do you do when using  USSD  menus?:Pay for things,C25X2. Which of these things are you using  apps on your phone to do ?:Get information,C25X2. Which of these things are you using  apps on your phone to do ?:Food deliveries,C25X2. Which of these things are you using  apps on your phone to do ?:Send or receive,C25X2. Which of these things are you using  apps on your phone to do ?:Pay for things,Mobile money,Banked,Financial Access Strand,Overlaps in Financial Access
0,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
1,No,No,No,No, ,2, , , , , , , , , ,Not MM,Not Banked,Other formal non-bank,informal AND formal
2,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
3,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
4,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
6,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
7,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
8,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
9,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
10,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
11,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
